,Location,First Tooltip
0,Afghanistan,0.21
1,Albania,6.74
2,Algeria,0.93
3,Andorra,11.01
4,Angola,7.96
5,Antigua and Barbuda,5.89
6,Argentina,9.55
7,Armenia,5.84
8,Australia,10.83
9,Austria,12.07
10,Azerbaijan,4.58
11,Bahamas,4.55
12,Bahrain,1.3
13,Bangladesh,0.021
14,Barbados,9.33
15,Belarus,12.0
16,Belgium,11.82
17,Belize,6.74
18,Benin,2.97
19,Bhutan,0.42
20,Bolivia,4.64
21,Bosnia and Herzegovina,6.92
22,Botswana,6.86
23,Brazil,7.86
24,Brunei Darussalam,0.46
25,Bulgaria,12.34
26,Burkina Faso,11.83
27,Burundi,7.03
28,Cabo Verde,5.95
29,Cambodia,6.37
30,Cameroon,6.17
31,Canada,8.88
32,Central African Republic,2.43
33,Chad,1.45
34,Chile,9.26
35,China,7.15
36,Colombia,5.78
37,Comoros,0.88
38,Congo,7.9
39,Costa Rica,4.76
40,Côte d’Ivoire,2.61
41,Croatia,9.07
42,Cuba,5.67
43,Cyprus,10.76
44,Czech Republic,14.25
45,Democratic People's Republic of Korea,3.82
46,Democratic Republic of the Congo,2.05
47,Denmark,10.36
48,Djibouti,0.49
49,Dominica,11.32
50,Dominican Republic,6.61
51,Ecuador,4.98
52,Egypt,0.4
53,El Salvador,3.59
54,Equatorial Guinea,9.08
55,Eritrea,1.42
56,Estonia,12.39
57,Eswatini,9.84
58,Ethiopia,2.19
59,Fiji,3.33
60,Finland,11.18
61,France,12.64
62,Gabon,9.57
63,Gambia,3.67
64,Georgia,9.61
65,Germany,13.06
66,Ghana,3.12
67,Greece,10.49
68,Grenada,9.07
69,Guatemala,2.55
70,Guinea,1.07
71,Guinea-Bissau,5.05
72,Guyana,7.35
73,Haiti,2.69
74,Honduras,3.49
75,Hungary,11.6
76,Iceland,8.74
77,India,5.54
78,Indonesia,0.6
79,Iran,1.01
80,Iraq,0.37
81,Ireland,12.47
82,Israel,3.86
83,Italy,7.59
84,Jamaica,4.19
85,Japan,7.87
86,Jordan,0.69
87,Kazakhstan,4.66
88,Kenya,2.77
89,Kiribati,0.52
90,Kuwait,0.003
91,Kyrgyzstan,7.59
92,Lao People's Democratic Republic,10.05
93,Latvia,12.64
94,Lebanon,1.65
95,Lesotho,4.8
96,Liberia,5.7
97,Libya,0.029
98,Lithuania,15.38
99,Luxembourg,13.18
100,Madagascar,1.88
101,Malawi,3.62
102,Malaysia,0.85
103,Maldives,2.07
104,Mali,1.25
105,Malta,7.56
106,Mauritania,0.033
107,Mauritius,3.94
108,Mexico,4.92
109,Micronesia (Federated States of),2.44
110,Mongolia,10.97
111,Montenegro,10.92
112,Morocco,0.7
113,Mozambique,2.19
114,Myanmar,4.41
115,Namibia,5.23
116,Nauru,3.71
117,Nepal,2.05
118,Netherlands,9.55
119,New Zealand,10.44
120,Nicaragua,5.03
121,Niger,0.55
122,Nigeria,10.81
123,Niue,10.28
124,Norway,7.52
125,Oman,0.77
126,Pakistan,0.29
127,Panama,7.71
128,Papua New Guinea,1.39
129,Paraguay,7.26
130,Peru,6.63
131,Philippines,6.7
132,Poland,11.63
133,Portugal,11.88
134,Qatar,1.62
135,Republic of Korea,10.04
136,Republic of Moldova,11.87
137,The former Yugoslav Republic of Macedonia,5.93
138,Romania,11.64
139,Russia,12.47
140,Rwanda,9.26
141,Saint Kitts and Nevis,8.88
142,Saint Lucia,9.97
143,Saint Vincent and the Grenadines,8.46
144,Samoa,2.59
145,Sao Tome and Principe,7.19
146,Saudi Arabia,0.2
147,Senegal,0.73
148,Serbia,8.7
149,Seychelles,18.35
150,Sierra Leone,5.63
151,Singapore,2.07
152,Slovakia,11.53
153,Slovenia,12.74
154,Solomon Islands,1.55
155,Somalia,0.013
156,South Africa,9.61
157,Spain,11.32
158,Sri Lanka,4.1
159,Sudan,0.52
160,Suriname,5.81
161,Sweden,9.13
162,Switzerland,11.58
163,Syria,0.28
164,Tajikistan,3.11
165,Thailand,8.36
166,Timor-Leste,2.01
167,Togo,2.37
168,Tonga,0.68
169,Trinidad and Tobago,6.88
170,Tunisia,1.99
171,Turkey,2.12
172,Turkmenistan,5.3
173,Tuvalu,1.98
174,Uganda,15.14
175,Ukraine,10.16
176,United Arab Emirates,3.79
177,United Kingdom,11.21
178,United Republic of Tanzania,11.05
179,United State,9.82
180,Uruguay,6.99
181,Uzbekistan,2.59
182,Vanuatu,2.14
183,Venezuela,6.82
184,Vietnam,7.86
185,Yemen,0.055
186,Zambia,6.89
187,Zimbabwe,4.92
