,country,lu,lpc,lsc,lhc,yr_sch
0,Algeria,13.78,26.26,19.54,9.01,7.71
1,Benin,44.56,14.26,20.44,2.97,5.515
2,Botswana,5.31,5.41,28.73,5.3,10.318
3,Burundi,47.62,17.92,4.66,0.91,3.435
4,Cameroon,12.97,32.79,16.61,3.08,7.124
5,Central African Republic,48.63,20.23,10.74,1.07,4.112
6,Congo,24.31,5.25,6.1,1.34,6.328
7,Egypt,31.29,4.07,38.73,8.94,7.824
8,Gabon,8.6,16.37,27.91,8.06,9.379
9,Gambia,51.51,6.82,10.32,2.06,4.882
10,Ghana,21.03,8.37,23.88,2.42,8.126
11,Cote dIvoire,35.75,29.05,9.27,2.65,4.978
12,Kenya,9.99,26.47,14.75,4.46,6.908
13,Lesotho,7.42,24.92,18.36,0.83,6.611
14,Liberia,39.79,22.13,13.05,1.88,4.703
15,Malawi,11.81,18.84,9.09,0.23,5.359
16,Mali,64.23,7.45,5.95,1.63,2.783
17,Mauritania,23.32,40.68,9.17,1.4,5.205
18,Mauritius,1.81,6.87,50.73,2.46,9.81
19,Morocco,35.02,25.75,12.41,7.54,6.016
20,Mozambique,42.01,34.51,7.68,1.75,4.203
21,Niger,65.13,14.72,2.92,0.93,2.427
22,Rwanda,19.52,29.67,8.18,1.83,5.526
23,Senegal,53.36,11.66,5.95,2.15,3.693
24,Sierra Leone,45.43,13.73,6.98,0.88,4.415
25,South Africa,3.18,5.32,54.44,4.71,10.177
26,Sudan,45.91,29.61,2.45,3.89,4.35
27,Swaziland,27.71,13.41,7.16,1.71,5.667
28,Tanzania,15.06,52.15,3.66,1.04,6.507
29,Togo,29.02,21.9,14.4,2.22,6.834
30,Tunisia,12.63,17.46,16.76,9.24,8.439
31,Uganda,13.94,13.81,2.62,1.12,5.761
32,Democratic Republic of the Congo,18.3,14.08,22.26,4.61,6.734
33,Zambia,9.93,21.57,17.09,1.12,7.988
34,Zimbabwe,3.52,26.4,1.94,3.3,8.125
35,Barbados,0.58,2.94,19.61,5.37,9.904
36,Canada,0.39,0.89,34.81,27.31,12.876
37,Costa Rica,9.93,22.17,18.24,14.3,8.574
38,Dominican Rep.,4.12,5.21,32.94,14.67,9.726
39,El Salvador,12.8,16.71,25.13,5.72,7.747
40,Guatemala,18.32,23.77,18.07,1.86,5.809
