,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
0,Afghanistan,11,45.44,18.22,9.63,4.97,4.826,81.693,1.01999998092651,0,18.7877621423825,0,0,0,0,30,51,9,48.57,4.8,2015,3.9828546047210693,7.701992034912109,0.5285972356796265,53.20000076293945,0.3889275789260864,0.07986410707235336,0.8806383013725281
1,Albania,36,2.46,2.83,34.48,9.3,10.972,20.0772,0.959999978542328,1,41.132848207796,1,1,0,1,30,53,9,31.43,6.0,2015,4.6066508293151855,9.403101921081543,0.6393561363220215,67.80000305175781,0.7038506865501404,-0.08083881437778473,0.8847930431365967
2,Argentina,32,0.62,29.88,28.45,2.93,10.206,63.096,2.35999989509583,1,41.6112460861779,0,1,0,1,25,43,12,34.29,8.8,2015,6.6971306800842285,10.083059310913086,0.9264922738075256,68.19999694824219,0.8812236785888672,-0.17384830117225647,0.8509061932563782
3,Armenia,35,0.55,0.93,46.87,24.66,11.766,22.8308,0.340000003576279,1,46.8369179064679,0,1,0,0,19,41,7,44.29,7.0,2015,4.3483195304870605,9.33444595336914,0.7225510478019714,66.0,0.5510266423225403,-0.202626571059227,0.901462197303772
4,Australia,79,0.54,2.88,40.93,24.63,12.457,11.9498,4.34999990463257,1,45.9090823133663,1,1,1,1,59,66,40,54.29,13.8,2015,7.309060573577881,10.779377937316895,0.951861560344696,72.69999694824219,0.9218710064888,0.33189859986305237,0.35655438899993896
5,Austria,76,1.45,14.46,39.7,17.97,10.779,7.7896,2.46000003814697,1,46.6778857944501,1,1,1,1,46,55,32,41.43,16.0,2015,7.076447010040283,10.881152153015137,0.9281103014945984,72.0999984741211,0.9003051519393921,0.09889271855354309,0.5574796199798584
6,Bahrain,51,4.69,7.21,32.27,12.65,9.453,13.618,2.22000002861023,1,21.7323618113708,0,0,0,0,51,71,30,32.86,5.9,2015,6.007375240325928,10.785270690917969,0.852550745010376,67.69999694824219,0.8495211601257324,0.11202140152454376,0.7445489010298807
7,Bangladesh,25,22.61,17.7,25.67,7.01,6.858,85.2192,0.330000013113022,0,28.2609109307921,0,0,0,1,27,62,10,52.86,6.1,2015,4.633473873138428,8.216117858886719,0.6014682650566101,62.79999923706055,0.8147962689399719,-0.06844885647296906,0.7206009030342102
8,Belgium,77,3.0,2.97,35.9,22.02,11.623,5.2022,2.38000011444092,1,46.0409311193835,1,1,1,1,40,54,26,44.29,20.1,2015,6.904219150543213,10.809558868408203,0.8852088451385498,71.4000015258789,0.8694749474525452,0.06221495568752289,0.4687846302986145
9,Benin,37,44.56,14.26,20.44,2.97,5.515,90.2036,0.680000007152557,1,49.0978271419923,0,0,0,1,19,37,11,41.43,9.9,2015,3.624664306640625,7.988194465637207,0.43438851833343506,53.099998474121094,0.7333835959434509,-0.026637520641088486,0.850098192691803
