,Country name,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence
,Afghanistan,81.693,1.01999998092651,0,18.7877621423825,0,0,0,0
1,Albania,20.0772,0.959999978542328,1,41.132848207796,1,1,0,1
2,Argentina,63.096,2.35999989509583,1,41.6112460861779,0,1,0,1
3,Armenia,22.8308,0.340000003576279,1,46.8369179064679,0,1,0,0
4,Australia,11.9498,4.34999990463257,1,45.9090823133663,1,1,1,1
5,Austria,7.7896,2.46000003814697,1,46.6778857944501,1,1,1,1
6,Azerbaijan,53.1988,8.52000045776367,1,49.0192479448248,1,1,1,1
7,Bahrain,13.618,2.22000002861023,1,21.7323618113708,0,0,0,0
8,Bangladesh,85.2192,0.330000013113022,0,28.2609109307921,0,0,0,1
9,Belarus,17.2534,0.389999985694885,1,49.6608777716655,0,1,1,1
10,Belgium,5.2022,2.38000011444092,1,46.0409311193835,1,1,1,1
11,Benin,90.2036,0.680000007152557,1,49.0978271419923,0,0,0,1
12,Bhutan,23.306,0.0399999991059303,1,41.0795333918602,0,0,0,1
13,Bolivia,68.0956,2.49000000953674,0,40.706503059364,1,1,0,1
14,Bosnia and Herzegovina,10.608,3.47000002861023,1,39.6718867064193,1,1,0,1
15,Botswana,46.8966,1.87000000476837,0,48.675248965709,0,0,0,1
16,Brazil,61.0878,2.91000008583069,1,42.7181210563841,0,1,0,1
17,Bulgaria,41.4184,1.96000003814697,1,46.5281312567019,1,1,1,1
18,Burkina Faso,108.7606,0.28999999165535,1,44.7018292232709,0,1,0,0
19,Cambodia,49.6326,0.0799999982118607,1,48.2856540478222,1,0,0,1
20,Cameroon,111.8636,2.26999998092651,0,46.9555424422548,0,1,0,0
21,Canada,9.6298,2.70000004768372,1,47.0530941410076,1,1,1,1
22,Chad,167.942,0.170000001788139,1,45.3229952287734,0,0,0,0
23,Chile,46.152,2.4300000667572,1,41.3156800354811,0,1,1,1
24,China,7.5318,0.949999988079071,1,43.9206950694526,0,1,0,1
25,Colombia,69.3178,2.59999990463257,1,43.2566977537134,0,1,0,1
26,Costa Rica,55.9828,1.86000001430511,1,39.3193539474101,0,0,0,1
27,Croatia,9.6774,3.24000000953674,1,46.5000198683391,1,1,1,1
28,Cyprus,4.8136,0.930000007152557,1,46.4256281091028,1,1,0,1
29,Czech Republic,11.484,1.86000001430511,1,44.208165745374,1,1,1,1
30,Denmark,4.2482,1.78999996185303,1,46.8721093823564,1,1,1,1
31,Dominican Republic,95.5912,1.91999995708466,1,39.1652367757787,1,0,0,1
32,Ecuador,80.6542,1.86000001430511,1,39.5025677277849,0,0,0,1
33,Egypt,54.595,1.94000005722046,1,23.4014242119828,0,0,0,0
34,El Salvador,71.0814,3.19000005722046,1,41.8919344734582,1,1,0,1
35,Estonia,11.0712,1.89999997615814,1,48.711902839672,1,1,1,0
36,Ethiopia,71.2274,0.159999996423721,1,46.165323259501,0,0,0,1
37,Finland,6.457,2.13000011444092,1,48.2888386747575,1,0,1,1
38,France,5.4954,2.20000004768372,1,47.7168027624922,1,1,1,1
39,Gabon,100.2026,1.39999997615814,1,40.4292248631871,0,1,0,0
40,Georgia,48.504,1.19000005722046,1,45.4910870157884,0,1,0,1
41,Germany,8.0822,2.50999999046326,1,46.2716558227356,1,0,1,1
42,Ghana,68.677,4.26000022888184,1,46.3114646286927,0,0,0,1
43,Greece,7.7494,4.38000011444092,1,44.0810923732333,1,1,0,1
44,Guatemala,73.9864,2.5699999332428,0,33.0010334186808,0,1,0,1
45,Guinea,139.5256,0.579999983310699,1,54.3685856375491,0,0,0,0
46,Haiti,54.032,0.349999994039536,1,48.0481830850378,0,0,0,0
47,Honduras,75.7848,4.55000019073486,1,36.7602371121149,1,0,0,1
48,Hungary,22.5134,3.08999991416931,1,45.7955015539889,1,1,1,1
49,Iceland,7.5054,1.46000003814697,1,47.5021794057241,0,1,1,1
50,India,19.127,0.5,1,20.6521225457954,0,0,0,1
51,Indonesia,48.6144,1.82000005245209,1,38.0616512623905,0,0,0,1
52,Iran,38.2094,1.33000004291534,0,17.2736821456974,0,1,0,0
53,Iraq,74.837,1.12999999523163,1,16.0139356319267,0,0,0,0
54,Ireland,8.8202,2.22000002861023,1,45.1912497459581,1,1,0,1
55,Israel,10.3814,1.5,1,47.0046241042039,1,1,0,1
56,Italy,5.5016,4.09000015258789,1,42.1307631857279,1,1,1,1
57,Japan,4.0596,0.819999992847443,1,42.801874395819,0,1,1,1
58,Jordan,26.7598,0.850000023841858,0,17.6217930375297,0,1,0,1
59,Kazakhstan,30.374,0.779999971389771,1,48.5688986067282,0,1,1,1
60,Kenya,79.508,0.180000007152557,1,48.4822963502749,0,0,0,0
61,Kuwait,8.6948,0.270000010728836,0,27.0665305342589,0,0,0,0
62,Kyrgyzstan,37.265,1.51999998092651,1,41.0056552886476,1,0,0,1
63,Latvia,15.8182,2.57999992370605,1,49.5789977856602,1,1,1,1
64,Lebanon,15.2896,1.45000004768372,1,24.1753803650929,0,0,0,1
65,Liberia,137.194,1.00999999046326,0,47.0734818991064,0,0,0,0
66,Libya,5.9114,1.63999998569489,1,34.1346328255993,0,0,0,0
67,Lithuania,11.8836,1.33000004291534,1,50.4729256364737,1,1,1,1
68,Luxembourg,5.3978,2.29999995231628,1,45.1398983522022,1,1,1,1
69,Madagascar,113.7668,1.98000001907349,1,48.7609256313522,0,0,0,0
70,Malawi,137.2998,0.759999990463257,1,48.4851324944406,0,0,0,1
