,Location,Value
0,Saint Lucia,17.14%
1,Saint Vincent and the Grenadines,17.14%
2,Tonga,17.14%
3,Comoros,21.43%
4,Grenada,21.43%
5,Micronesia (Federated States of),21.43%
6,Equatorial Guinea,22.86%
7,Antigua and Barbuda,24.29%
8,Kiribati,24.29%
9,Gabon,25.71%
10,Papua New Guinea,25.71%
11,Vanuatu,25.71%
12,Seychelles,27.14%
13,Central African Republic,28.57%
14,Eritrea,28.57%
15,Fiji,28.57%
16,Greece,28.57%
17,Maldives,28.57%
18,Malta,28.57%
19,Qatar,28.57%
20,Sao Tome and Principe,28.57%
21,Trinidad and Tobago,28.57%
22,Turkmenistan,28.57%
23,Samoa,30%
24,Suriname,30%
25,Albania,31.43%
26,Angola,31.43%
27,Democratic People's Republic of Korea,31.43%
28,Solomon Islands,31.43%
29,Azerbaijan,32.86%
30,Bahamas,32.86%
31,Bahrain,32.86%
32,Cabo Verde,32.86%
33,Congo,32.86%
34,Guinea-Bissau,32.86%
35,Iran,32.86%
36,Syria,32.86%
37,Argentina,34.29%
38,Cameroon,34.29%
39,Gambia,34.29%
40,Guinea,34.29%
41,Lesotho,34.29%
42,Madagascar,34.29%
43,Mozambique,34.29%
44,Somalia,34.29%
45,South Sudan,34.29%
46,Tajikistan,34.29%
47,Algeria,35.71%
48,Belize,35.71%
49,Bosnia and Herzegovina,35.71%
50,Botswana,35.71%
51,Brunei Darussalam,35.71%
52,Chad,35.71%
53,Democratic Republic of the Congo,35.71%
54,Djibouti,35.71%
55,Guyana,35.71%
56,Liberia,35.71%
57,Mauritania,35.71%
58,Namibia,35.71%
59,Saudi Arabia,35.71%
60,Sudan,35.71%
61,Switzerland,35.71%
62,Uzbekistan,35.71%
63,Barbados,37.14%
64,Côte d’Ivoire,37.14%
65,Haiti,37.14%
66,The former Yugoslav Republic of Macedonia,37.14%
67,Yemen,37.14%
68,China,38.57%
69,Guatemala,38.57%
70,Iraq,38.57%
71,Jamaica,38.57%
72,Libya,38.57%
73,Montenegro,38.57%
74,Nicaragua,38.57%
75,Togo,38.57%
76,Turkey,38.57%
77,Ukraine,38.57%
78,Zambia,38.57%
79,Burundi,40%
80,Canada,40%
81,Eswatini,40%
82,Kazakhstan,40%
83,Kyrgyzstan,40%
84,Slovenia,40%
85,Timor-Leste,40%
86,United Republic of Tanzania,40%
87,Vietnam,40%
88,Austria,41.43%
89,Benin,41.43%
90,Bhutan,41.43%
91,Cyprus,41.43%
92,Lao People's Democratic Republic,41.43%
93,Lebanon,41.43%
94,Lithuania,41.43%
95,Mali,41.43%
96,Mauritius,41.43%
97,Morocco,41.43%
98,Poland,41.43%
99,Republic of Moldova,41.43%
100,Russia,41.43%
101,Venezuela,41.43%
102,Zimbabwe,41.43%
103,Belarus,42.86%
104,Brazil,42.86%
105,Bulgaria,42.86%
106,Chile,42.86%
107,Czech Republic,42.86%
108,India,42.86%
109,Ireland,42.86%
110,Malawi,42.86%
111,Malaysia,42.86%
112,Niger,42.86%
113,Sierra Leone,42.86%
114,Sri Lanka,42.86%
115,Thailand,42.86%
116,Tunisia,42.86%
117,Armenia,44.29%
118,Belgium,44.29%
119,Burkina Faso,44.29%
120,Cambodia,44.29%
121,Israel,44.29%
122,Jordan,44.29%
123,Panama,44.29%
124,Singapore,44.29%
125,Ecuador,45.71%
126,France,45.71%
127,Italy,45.71%
128,Kenya,45.71%
129,Mongolia,45.71%
130,Paraguay,45.71%
131,Rwanda,45.71%
132,Slovakia,45.71%
133,South Africa,45.71%
134,United Arab Emirates,45.71%
135,United Kingdom,45.71%
136,Costa Rica,47.14%
137,Germany,47.14%
138,Honduras,47.14%
139,Kuwait,47.14%
140,Netherlands,47.14%
141,Republic of Korea,47.14%
142,Sweden,47.14%
143,United State,47.14%
144,Afghanistan,48.57%
145,Ethiopia,48.57%
146,Hungary,48.57%
147,Luxembourg,48.57%
148,Nepal,48.57%
149,Nigeria,48.57%
150,Philippines,48.57%
151,Romania,48.57%
152,Uganda,48.57%
153,Bolivia,50%
154,Cuba,50%
155,Egypt,50%
156,Georgia,50%
157,Latvia,50%
158,Myanmar,50%
159,Pakistan,50%
160,Portugal,50%
161,Uruguay,50%
162,Croatia,51.43%
163,Denmark,51.43%
164,Dominican Republic,51.43%
165,El Salvador,51.43%
166,Finland,51.43%
167,New Zealand,51.43%
168,Serbia,51.43%
169,Bangladesh,52.86%
170,Indonesia,52.86%
171,Norway,52.86%
172,Spain,52.86%
173,Australia,54.29%
174,Colombia,54.29%
175,Iceland,54.29%
176,Mexico,54.29%
177,Ghana,55.71%
178,Oman,55.71%
179,Senegal,55.71%
180,Japan,57.14%
181,Estonia,60%
182,Peru,70%
