,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
7,Afghanistan,2015,3.9828546047210693,7.701992034912109,0.5285972356796265,53.20000076293945,0.3889275789260864,0.07986410707235336,0.8806383013725281
19,Albania,2015,4.6066508293151855,9.403101921081543,0.6393561363220215,67.80000305175781,0.7038506865501404,-0.08083881437778473,0.8847930431365967
46,Argentina,2015,6.6971306800842285,10.083059310913086,0.9264922738075256,68.19999694824219,0.8812236785888672,-0.17384830117225647,0.8509061932563782
61,Armenia,2015,4.3483195304870605,9.33444595336914,0.7225510478019714,66.0,0.5510266423225403,-0.202626571059227,0.901462197303772
74,Australia,2015,7.309060573577881,10.779377937316895,0.951861560344696,72.69999694824219,0.9218710064888,0.33189859986305237,0.35655438899993896
87,Austria,2015,7.076447010040283,10.881152153015137,0.9281103014945984,72.0999984741211,0.9003051519393921,0.09889271855354309,0.5574796199798584
102,Azerbaijan,2015,5.146774768829346,9.60601806640625,0.7857027649879456,64.5999984741211,0.7642894983291626,-0.19772739708423615,0.615552544593811
113,Bahrain,2015,6.007375240325928,10.785270690917969,0.852550745010376,67.69999694824219,0.8495211601257324,0.11202140152454376,0.7445489010298807
127,Bangladesh,2015,4.633473873138428,8.216117858886719,0.6014682650566101,62.79999923706055,0.8147962689399719,-0.06844885647296906,0.7206009030342102
142,Belarus,2015,5.718907833099365,9.815067291259766,0.9240726232528687,65.19999694824219,0.6227534413337708,-0.09133758395910263,0.6686781644821167
155,Belgium,2015,6.904219150543213,10.809558868408203,0.8852088451385498,71.4000015258789,0.8694749474525452,0.06221495568752289,0.4687846302986145
169,Benin,2015,3.624664306640625,7.988194465637207,0.43438851833343506,53.099998474121094,0.7333835959434509,-0.026637520641088486,0.850098192691803
177,Bhutan,2015,5.082128524780273,9.218923568725586,0.8475744128227234,60.20000076293945,0.8301015496253967,0.2774123549461365,0.6339557766914368
187,Bolivia,2015,5.834329128265381,8.985246658325195,0.8287057876586914,62.70000076293945,0.8836250901222229,-0.02951531484723091,0.862373948097229
200,Bosnia and Herzegovina,2015,5.117177963256836,9.456695556640625,0.6557236313819885,66.9000015258789,0.630698025226593,-0.05457206070423126,0.9598536491394043
213,Botswana,2015,3.761964797973633,9.72402286529541,0.8156560659408569,56.79999923706055,0.8571689128875732,-0.11625391244888306,0.8602929711341858
227,Brazil,2015,6.546896934509277,9.619746208190918,0.9066931009292603,65.80000305175781,0.7989352941513062,-0.015561512671411037,0.7713390588760376
239,Bulgaria,2015,4.865401268005371,9.88322639465332,0.9075170159339905,66.19999694824219,0.6368178129196167,-0.19982804358005524,0.941279947757721
253,Burkina Faso,2015,4.4189300537109375,7.56773567199707,0.7053934931755066,52.400001525878906,0.659102737903595,0.0035707743372768164,0.6927239894866943
272,Cambodia,2015,4.162164688110352,8.172927856445312,0.7286102771759033,60.400001525878906,0.9563198089599609,0.2100825160741806,0.8251302242279053
287,Cameroon,2015,5.037964820861816,8.148646354675293,0.6463124752044678,50.29999923706055,0.7914285659790039,0.04931523650884628,0.8680490255355835
302,Canada,2015,7.4127726554870605,10.774161338806152,0.9390670657157898,73.0,0.9314689636230469,0.25282102823257446,0.42715224623680115
322,Chad,2015,4.3226752281188965,7.526775360107422,0.7512522339820862,46.70000076293945,0.4743608832359314,-0.02865956537425518,0.8886393904685974
336,Chile,2015,6.532749652862549,10.070427894592285,0.8271418809890747,69.5999984741211,0.7688814401626587,0.04059410095214844,0.8115113377571106
351,China,2015,5.303877830505371,9.448722839355469,0.7937337160110474,68.4000015258789,0.7466229984157259,-0.2444354146718979,0.7445489010298807
366,Colombia,2015,6.387571811676025,9.563640594482422,0.8899000287055969,66.80000305175781,0.7908979654312134,-0.10012606531381607,0.8428993225097656
383,Congo (Brazzaville),2015,4.690830230712891,8.24338150024414,0.6421361565589905,56.099998474121094,0.8501724600791931,-0.10392161458730698,0.8413594961166382
393,Congo (Kinshasa),2015,3.9027416706085205,6.9709577560424805,0.7672355771064758,52.099998474121094,0.5737637877464294,-0.04758510738611221,0.8663780093193054
405,Costa Rica,2015,6.854004383087158,9.799487113952637,0.8782729506492615,70.69999694824219,0.9069256782531738,-0.059071723371744156,0.761419415473938
417,Croatia,2015,5.205438137054443,10.104363441467285,0.7683634161949158,68.4000015258789,0.6935230493545532,-0.0964784175157547,0.8485455513000488
431,Cyprus,2015,5.43916130065918,10.445100784301758,0.7695561051368713,73.0999984741211,0.6280348300933838,0.11379989981651306,0.8927951455116272
444,Czech Republic,2015,6.608017444610596,10.495902061462402,0.9113625884056091,68.80000305175781,0.8084841966629028,-0.14585736393928528,0.886467456817627
458,Denmark,2015,7.514424800872803,10.87840461730957,0.9597012996673584,71.5,0.9414364099502563,0.22208371758460999,0.19101639091968536
477,Dominican Republic,2015,5.061862468719482,9.637459754943848,0.893197774887085,64.9000015258789,0.8560253381729126,-0.06538671255111694,0.7552881836891174
492,Ecuador,2015,5.964075088500977,9.383989334106445,0.8558892011642456,67.5999984741211,0.8008704781532288,-0.11392004787921906,0.6658275127410889
507,Egypt,2015,4.762538433074951,9.265817642211914,0.7297442555427551,60.79999923706055,0.6592614650726318,-0.0885595828294754,0.6844980716705322
522,El Salvador,2015,6.018496036529541,9.004916191101074,0.7907553911209106,65.19999694824219,0.7333559393882751,-0.15617093443870544,0.8045442700386047
536,Estonia,2015,5.628908634185791,10.348464965820312,0.9179296493530273,68.0,0.8146923780441284,-0.1636808067560196,0.5687344670295715
545,Ethiopia,2015,4.573154926300049,7.483853816986084,0.625596821308136,57.0,0.8026425838470459,0.1127219870686531,0.5670273303985596
558,Finland,2015,7.447925567626953,10.716032981872559,0.9478005766868591,71.5999984741211,0.9298619031906128,0.1112648993730545,0.22336965799331665
573,France,2015,6.3576250076293945,10.681742668151855,0.8957194089889526,73.19999694824219,0.8170362114906311,-0.139271080493927,0.6406020522117615
583,Gabon,2015,4.661012649536133,9.649173736572266,0.7558619976043701,58.20000076293945,0.6713007092475891,-0.1935608983039856,0.8667774796485901
600,Georgia,2015,4.121940612792969,9.44186019897461,0.5173715949058533,65.0999984741211,0.6399449706077576,-0.20479491353034973,0.5024167895317078
615,Germany,2015,7.037137508392334,10.843671798706055,0.925923228263855,71.30000305175781,0.8894288539886475,0.1776224672794342,0.4121682941913605
630,Ghana,2015,3.9859161376953125,8.449007034301758,0.6874485611915588,56.0,0.8520161509513855,-0.03834652155637741,0.9454361200332642
644,Greece,2015,5.622519016265869,10.258951187133789,0.8348246812820435,71.80000305175781,0.5317363142967224,-0.27197811007499695,0.8239596486091614
659,Guatemala,2015,6.464986801147461,9.002745628356934,0.8228374719619751,63.900001525878906,0.8686397671699524,0.0512973815202713,0.8216549158096313
668,Guinea,2015,3.5046935081481934,7.644764423370361,0.5788596272468567,51.099998474121094,0.6659530401229858,0.006546582095324993,0.7621520161628723
681,Haiti,2015,3.5697624683380127,7.47552490234375,0.5643196702003479,55.099998474121094,0.39829549193382263,0.30593231320381165,0.7774039506912231
694,Honduras,2015,4.8454365730285645,8.57232666015625,0.7723755240440369,66.5999984741211,0.5340576767921448,-0.09682408720254898,0.8480827212333679
718,Hungary,2015,5.344383239746094,10.223447799682617,0.8587338328361511,66.4000015258789,0.5577213764190674,-0.1978226602077484,0.9075303077697754
727,Iceland,2015,7.49807071685791,10.853975296020508,0.9802832007408142,73.0,0.9404851198196411,0.30074355006217957,0.638661801815033
741,India,2015,4.342079162597656,8.604167938232422,0.6101332902908325,58.900001525878906,0.7772252559661865,-0.005146285519003868,0.7764349579811096
756,Indonesia,2015,5.042799949645996,9.225190162658691,0.8094781041145325,61.5,0.7794183492660522,0.471330463886261,0.9459672570228577
768,Iran,2015,4.749955654144287,9.44920825958252,0.5724068880081177,65.0999984741211,0.7803832292556763,0.1763601452112198,0.698951244354248
781,Iraq,2015,4.493377208709717,9.240935325622559,0.6844348311424255,58.400001525878906,0.5994599461555481,0.01945452205836773,0.7621671557426453
794,Ireland,2015,6.830125331878662,11.173857688903809,0.9529425501823425,72.0,0.89227694272995,0.2326010912656784,0.40875691175460815
809,Israel,2015,7.079411029815674,10.535648345947266,0.8641301989555359,72.69999694824219,0.7527839541435242,0.10847609490156174,0.7894299030303955
824,Italy,2015,5.847683906555176,10.607693672180176,0.908986508846283,73.0,0.5747657418251038,-0.06420718133449554,0.9127530455589294
833,Ivory Coast,2015,4.445038795471191,8.393250465393066,0.7039916515350342,47.70000076293945,0.799745500087738,-0.05340500921010971,0.7442496418952942
854,Japan,2015,5.8796844482421875,10.588424682617188,0.9226571917533875,74.69999694824219,0.8316941857337952,-0.15512794256210327,0.654443085193634
869,Jordan,2015,5.404593467712402,9.20739459991455,0.8304438591003418,66.19999694824219,0.7665170431137085,-0.04579333961009979,0.7445489010298807
884,Kazakhstan,2015,5.949995040893555,10.097837448120117,0.9313492774963379,62.79999923706055,0.7401328086853027,-0.036992888897657394,0.7138442993164062
899,Kenya,2015,4.3576178550720215,8.249250411987305,0.7769230604171753,58.29999923706055,0.7929903268814087,0.2206527590751648,0.8525498509407043
913,Kosovo,2015,5.077460765838623,9.182307243347168,0.805270791053772,63.77080735620463,0.5610482692718506,0.1808512657880783,0.8506470918655396
926,Kuwait,2015,6.146031856536865,10.912070274353027,0.8230177760124207,66.0999984741211,0.821662425994873,0.08159535378217697,0.7445489010298807
939,Kyrgyzstan,2015,4.905375957489014,8.477441787719727,0.8565845489501953,63.20000076293945,0.8131758570671082,0.19976788759231567,0.8577250242233276
962,Latvia,2015,5.8805975914001465,10.184513092041016,0.8793724179267883,65.9000015258789,0.6563931703567505,-0.07739152759313583,0.8084003925323486
977,Lebanon,2015,5.171971321105957,9.698872566223145,0.7417077422142029,65.5999984741211,0.5967497825622559,0.07265167683362961,0.8889532685279846
990,Liberia,2015,2.7015912532806396,7.365483283996582,0.6376659870147705,53.70000076293945,0.6714308857917786,-0.06149032339453697,0.9026726484298706
996,Libya,2015,5.6154046058654785,9.307687759399414,0.8679876923561096,62.29999923706055,0.7745449542999268,-0.044114116579294205,0.7445489010298807
1010,Lithuania,2015,5.71137809753418,10.335315704345703,0.9285235404968262,65.5,0.641470193862915,-0.25363197922706604,0.9241740703582764
1022,Luxembourg,2015,6.701571464538574,11.616852760314941,0.9336045980453491,72.5999984741211,0.9322564005851746,0.052099939435720444,0.3753904700279236
1033,Madagascar,2015,3.5925140380859375,7.343921661376953,0.6467165350914001,57.900001525878906,0.5447536110877991,-0.04082195833325386,0.8609533905982971
1045,Malawi,2015,3.867638349533081,6.9346208572387695,0.4943816363811493,55.5,0.8013907074928284,0.05806805565953255,0.8348253965377808
1059,Malaysia,2015,6.3221211433410645,10.118295669555664,0.8176162838935852,66.4000015258789,0.6745944619178772,0.2223144769668579,0.8378922343254089
1071,Mali,2015,4.582098484039307,7.668847560882568,0.8301891684532166,50.20000076293945,0.6337535381317139,-0.06758229434490204,0.8000467419624329
1082,Malta,2015,6.613394260406494,10.565675735473633,0.9187648892402649,72.19999694824219,0.9121780395507812,0.34702906012535095,0.663886308670044
1096,Mauritania,2015,3.922664165496826,8.54236125946045,0.8749459385871887,56.099998474121094,0.4470865726470947,0.05547939985990524,0.7153584361076355
1117,Mexico,2015,6.2362871170043945,9.8672513961792,0.760614275932312,67.4000015258789,0.719465970993042,-0.15175363421440125,0.7079719305038452
1132,Moldova,2015,6.017472267150879,9.245787620544434,0.8399055004119873,62.900001525878906,0.5952414274215698,-0.08976767212152481,0.9431188106536865
1145,Mongolia,2015,4.982719898223877,9.307735443115234,0.9055243730545044,61.70000076293945,0.6855107545852661,0.1730996072292328,0.9002181887626648
1158,Montenegro,2015,5.1249213218688965,9.809857368469238,0.7396305203437805,67.9000015258789,0.5833173394203186,-0.14398890733718872,0.7812325954437256
1168,Morocco,2015,5.163156986236572,8.87202262878418,0.6059176325798035,65.0,0.7129334211349487,-0.22769343852996826,0.8418569564819336
1178,Mozambique,2015,4.54976749420166,7.140938758850098,0.6658582091331482,51.20000076293945,0.8132292628288269,0.08872713893651962,0.631573498249054
1185,Myanmar,2015,4.223846435546875,8.359018325805664,0.7520642876625061,58.099998474121094,0.8079710602760315,0.6875602006912231,0.6333051919937134
