,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
2,Afghanistan,2010,4.758380889892578,7.646708965301514,0.5390751957893372,51.599998474121094,0.6001272201538086,0.12058963626623154,0.7067660689353943
7,Afghanistan,2015,3.9828546047210693,7.701992034912109,0.5285972356796265,53.20000076293945,0.3889275789260864,0.07986410707235336,0.8806383013725281
8,Afghanistan,2016,4.220168590545654,7.696559906005859,0.5590717792510986,53.0,0.5225661993026733,0.042265407741069794,0.7932455539703369
14,Albania,2010,5.268936634063721,9.303230285644531,0.7331522703170776,66.4000015258789,0.5689584016799927,-0.1721067726612091,0.7262616753578186
19,Albania,2015,4.6066508293151855,9.403101921081543,0.6393561363220215,67.80000305175781,0.7038506865501404,-0.08083881437778473,0.8847930431365967
20,Albania,2016,4.511100769042969,9.437311172485352,0.6384114623069763,68.0999984741211,0.7298189401626587,-0.016982201486825943,0.901070773601532
25,Algeria,2010,5.463566780090332,9.286935806274414,0.8183104482300043,64.5,0.5926958322525024,-0.2053198516368866,0.6180378794670105
29,Algeria,2016,5.340853691101074,9.362022399902344,0.7485882639884949,65.5,0.7466229984157259,0.008732767582596964,0.7445489010298807
41,Argentina,2010,6.441067218780518,10.065669059753418,0.9267985820770264,67.30000305175781,0.7302581667900085,-0.12568217515945435,0.8546954393386841
46,Argentina,2015,6.6971306800842285,10.083059310913086,0.9264922738075256,68.19999694824219,0.8812236785888672,-0.17384830117225647,0.8509061932563782
47,Argentina,2016,6.427221298217773,10.051465034484863,0.8828191161155701,68.4000015258789,0.8477022051811218,-0.19175593554973602,0.8509244918823242
56,Armenia,2010,4.36781120300293,9.136282920837402,0.6603423357009888,65.19999694824219,0.45925670862197876,-0.17614459991455078,0.890629231929779
61,Armenia,2015,4.3483195304870605,9.33444595336914,0.7225510478019714,66.0,0.5510266423225403,-0.202626571059227,0.901462197303772
62,Armenia,2016,4.325471878051758,9.332829475402832,0.7092183232307434,66.30000305175781,0.6109869480133057,-0.170423224568367,0.9214210510253906
66,Australia,2005,7.340688228607178,10.658608436584473,0.9678921699523926,71.4000015258789,0.9349732995033264,0.008732767582596964,0.3904159367084503
69,Australia,2010,7.450047016143799,10.722262382507324,0.9545195698738098,72.19999694824219,0.932058572769165,0.3167438507080078,0.3661274015903473
74,Australia,2015,7.309060573577881,10.779377937316895,0.951861560344696,72.69999694824219,0.9218710064888,0.33189859986305237,0.35655438899993896
75,Australia,2016,7.250080108642578,10.791088104248047,0.9423342347145081,73.0,0.9223157167434692,0.23855794966220856,0.39854511618614197
82,Austria,2010,7.30267858505249,10.861471176147461,0.914193332195282,71.4000015258789,0.8959797620773315,0.13089075684547424,0.5461448431015015
87,Austria,2015,7.076447010040283,10.881152153015137,0.9281103014945984,72.0999984741211,0.9003051519393921,0.09889271855354309,0.5574796199798584
88,Austria,2016,7.04807186126709,10.890950202941895,0.9263185858726501,72.4000015258789,0.88851398229599,0.07974882423877716,0.5236409902572632
97,Azerbaijan,2010,4.218610763549805,9.568906784057617,0.6870009899139404,63.400001525878906,0.5010710954666138,-0.1232181116938591,0.8583466410636902
102,Azerbaijan,2015,5.146774768829346,9.60601806640625,0.7857027649879456,64.5999984741211,0.7642894983291626,-0.19772739708423615,0.615552544593811
103,Azerbaijan,2016,5.303894996643066,9.563724517822266,0.777271032333374,64.9000015258789,0.7125731706619263,-0.2041623443365097,0.6067708134651184
108,Bahrain,2010,5.936869144439697,10.705819129943848,0.8771150708198547,66.30000305175781,0.8620029091835022,-0.0005844568950124085,0.7146201729774475
113,Bahrain,2015,6.007375240325928,10.785270690917969,0.852550745010376,67.69999694824219,0.8495211601257324,0.11202140152454376,0.7445489010298807
114,Bahrain,2016,6.169673442840576,10.780850410461426,0.8627001047134399,68.0999984741211,0.8886910676956177,0.08818747848272324,0.7445489010298807
122,Bangladesh,2010,4.858481407165527,7.9667487144470215,0.5493984818458557,60.70000076293945,0.6590056419372559,-0.01619577966630459,0.7735304832458496
