,country,value,happy_score
0,Afghanistan,0.21,3.9828546047210693
1,Albania,6.74,4.6066508293151855
2,Argentina,9.55,6.6971306800842285
3,Armenia,5.84,4.3483195304870605
4,Australia,10.83,7.309060573577881
5,Austria,12.07,7.076447010040283
6,Azerbaijan,4.58,5.146774768829346
7,Bahrain,1.3,6.007375240325928
8,Bangladesh,0.021,4.633473873138428
9,Belarus,12.0,5.718907833099365
10,Belgium,11.82,6.904219150543213
11,Benin,2.97,3.624664306640625
12,Bhutan,0.42,5.082128524780273
13,Bolivia,4.64,5.834329128265381
14,Bosnia and Herzegovina,6.92,5.117177963256836
15,Botswana,6.86,3.761964797973633
16,Brazil,7.86,6.546896934509277
17,Bulgaria,12.34,4.865401268005371
18,Burkina Faso,11.83,4.4189300537109375
19,Cambodia,6.37,4.162164688110352
20,Cameroon,6.17,5.037964820861816
21,Canada,8.88,7.4127726554870605
22,Chad,1.45,4.3226752281188965
23,Chile,9.26,6.532749652862549
24,China,7.15,5.303877830505371
25,Colombia,5.78,6.387571811676025
26,Costa Rica,4.76,6.854004383087158
27,Croatia,9.07,5.205438137054443
28,Cyprus,10.76,5.43916130065918
29,Czech Republic,14.25,6.608017444610596
30,Denmark,10.36,7.514424800872803
31,Dominican Republic,6.61,5.061862468719482
32,Ecuador,4.98,5.964075088500977
33,Egypt,0.4,4.762538433074951
34,El Salvador,3.59,6.018496036529541
35,Estonia,12.39,5.628908634185791
36,Ethiopia,2.19,4.573154926300049
37,Finland,11.18,7.447925567626953
38,France,12.64,6.3576250076293945
39,Gabon,9.57,4.661012649536133
40,Georgia,9.61,4.121940612792969
41,Germany,13.06,7.037137508392334
42,Ghana,3.12,3.9859161376953125
43,Greece,10.49,5.622519016265869
44,Guatemala,2.55,6.464986801147461
45,Guinea,1.07,3.5046935081481934
46,Haiti,2.69,3.5697624683380127
47,Honduras,3.49,4.8454365730285645
48,Hungary,11.6,5.344383239746094
49,Iceland,8.74,7.49807071685791
50,India,5.54,4.342079162597656
51,Indonesia,0.6,5.042799949645996
52,Iran,1.01,4.749955654144287
53,Iraq,0.37,4.493377208709717
54,Ireland,12.47,6.830125331878662
55,Israel,3.86,7.079411029815674
56,Italy,7.59,5.847683906555176
57,Japan,7.87,5.8796844482421875
58,Jordan,0.69,5.404593467712402
59,Kazakhstan,4.66,5.949995040893555
60,Kenya,2.77,4.3576178550720215
61,Kuwait,0.003,6.146031856536865
62,Kyrgyzstan,7.59,4.905375957489014
63,Latvia,12.64,5.8805975914001465
64,Lebanon,1.65,5.171971321105957
65,Liberia,5.7,2.7015912532806396
66,Libya,0.029,5.6154046058654785
67,Lithuania,15.38,5.71137809753418
68,Luxembourg,13.18,6.701571464538574
69,Madagascar,1.88,3.5925140380859375
70,Malawi,3.62,3.867638349533081
71,Malaysia,0.85,6.3221211433410645
72,Mali,1.25,4.582098484039307
73,Malta,7.56,6.613394260406494
74,Mauritania,0.033,3.922664165496826
75,Mexico,4.92,6.2362871170043945
76,Mongolia,10.97,4.982719898223877
77,Montenegro,10.92,5.1249213218688965
78,Morocco,0.7,5.163156986236572
79,Mozambique,2.19,4.54976749420166
80,Myanmar,4.41,4.223846435546875
81,Nepal,2.05,4.812436580657959
82,Netherlands,9.55,7.324437141418457
83,New Zealand,10.44,7.418120861053467
84,Nicaragua,5.03,5.924112796783447
85,Niger,0.55,3.6714537143707275
86,Nigeria,10.81,4.932914733886719
87,Norway,7.52,7.603433609008789
88,Pakistan,0.29,4.823194980621338
89,Panama,7.71,6.605550289154053
90,Paraguay,7.26,5.5597243309021
91,Peru,6.63,5.577263355255127
92,Philippines,6.7,5.547489166259766
93,Poland,11.63,6.007021903991699
94,Portugal,11.88,5.08086633682251
95,Qatar,1.62,6.3745293617248535
96,Romania,11.64,5.777491092681885
97,Russia,12.47,5.995538711547852
98,Rwanda,9.26,3.4831089973449707
99,Saudi Arabia,0.2,6.345491886138916
100,Senegal,0.73,4.617000579833984
101,Serbia,8.7,5.317685127258301
102,Sierra Leone,5.63,4.908617973327637
103,Singapore,2.07,6.619524955749512
104,Slovakia,11.53,6.162004470825195
105,Slovenia,12.74,5.740642070770264
106,Somalia,0.013,5.353644847869873
107,South Africa,9.61,4.887325763702393
108,Spain,11.32,6.3806633949279785
109,Sri Lanka,4.1,4.611606597900391
110,Sweden,9.13,7.288922309875488
111,Switzerland,11.58,7.572136878967285
112,Syria,0.28,3.4619128704071045
113,Tajikistan,3.11,5.124210834503174
114,Thailand,8.36,6.201762676239014
115,Togo,2.37,3.7683019638061523
116,Tunisia,1.99,5.1316118240356445
117,Turkey,2.12,5.51446533203125
118,Turkmenistan,5.3,5.791460037231445
119,Uganda,15.14,4.237686634063721
120,Ukraine,10.16,3.964542865753174
121,United Arab Emirates,3.79,6.568397521972656
122,United Kingdom,11.21,6.515445232391357
123,Uruguay,6.99,6.628080368041992
124,Uzbekistan,2.59,5.97236442565918
125,Venezuela,6.82,5.568800449371338
126,Vietnam,7.86,5.076315402984619
127,Yemen,0.055,2.9826738834381104
128,Zambia,6.89,4.843164443969727
129,Zimbabwe,4.92,3.7031912803649902
